timestamp,character,ilvl,dungeon,at_level,bonus_floor,floor,currency_orbs,currency_shards,red,blue
2022-05-02-18:02:35,Trif,1375,Sun-1,True,False,1,3,33,0,0
2022-05-02-18:02:35,Trif,1375,Sun-1,True,False,2,13,74,0,13
2022-05-02-18:02:35,Trif,1375,Sun-1,True,False,3,7,53,3,4
2022-05-02-18:09:16,Trif,1375,Sun-1,True,False,1,5,39,0,0
2022-05-02-18:09:16,Trif,1375,Sun-1,True,False,2,6,90,7,26
2022-05-02-18:09:16,Trif,1375,Sun-1,True,False,3,4,56,0,0
2022-05-02-18:24:47,Trif,1375,Sun-1,True,False,1,2,29,0,0
2022-05-02-18:24:47,Trif,1375,Sun-1,True,False,2,5,88,3,12
2022-05-02-18:24:47,Trif,1375,Sun-1,True,False,3,5,63,0,2
2022-05-02-18:33:50,Trif,1375,Sun-1,True,False,1,1,33,0,0
2022-05-02-18:33:50,Trif,1375,Sun-1,True,False,2,7,78,7,14
2022-05-02-18:33:50,Trif,1375,Sun-1,True,False,3,5,60,0,11
2022-05-02-18:40:44,Trif,1375,Sun-1,True,False,1,4,32,0,0
2022-05-02-18:40:44,Trif,1375,Sun-1,True,False,2,12,76,11,14
2022-05-02-18:40:44,Trif,1375,Sun-1,True,False,3,5,55,0,6
2022-05-02-20:42:36,Trif,1375,Star-1,False,False,1,1,33,0,0
2022-05-02-20:42:36,Trif,1375,Star-1,False,False,2,11,55,0,15
2022-05-02-20:42:36,Trif,1375,Star-1,False,False,3,2,47,3,6
2022-05-02-20:48:05,Trif,1375,Star-1,False,False,1,2,24,0,0
2022-05-02-20:48:05,Trif,1375,Star-1,False,False,2,6,56,4,21
2022-05-02-20:48:05,Trif,1375,Star-1,False,False,3,3,41,0,8
2022-05-02-20:54:48,Trif,1375,Star-1,False,False,1,0,28,0,0
2022-05-02-20:54:48,Trif,1375,Star-1,False,False,2,4,65,9,13
2022-05-02-20:54:48,Trif,1375,Star-1,False,False,3,5,56,0,4
2022-05-02-21:00:58,Trif,1375,Star-1,False,False,1,1,24,0,0
2022-05-02-21:00:58,Trif,1375,Star-1,False,False,2,3,63,8,17
2022-05-02-21:00:58,Trif,1375,Star-1,False,False,3,6,54,2,4
2022-05-02-21:07:05,Trif,1375,Star-1,False,False,1,2,31,0,0
2022-05-02-21:07:05,Trif,1375,Star-1,False,False,2,6,64,2,12
2022-05-02-21:07:05,Trif,1375,Star-1,False,False,3,4,45,0,3
2022-05-02-21:14:48,Trif,1375,Moon-2,False,False,1,6,32,0,0
2022-05-02-21:14:48,Trif,1375,Moon-2,False,False,2,9,58,7,24
2022-05-02-21:14:48,Trif,1375,Moon-2,False,False,3,7,54,0,0
2022-05-02-21:22:28,Trif,1375,Moon-2,False,False,1,4,27,0,0
2022-05-02-21:22:28,Trif,1375,Moon-2,False,False,2,8,69,10,12
2022-05-02-21:22:28,Trif,1375,Moon-2,False,False,3,6,44,2,0
2022-05-02-21:29:26,Trif,1375,Moon-2,False,False,1,3,29,0,0
2022-05-02-21:29:26,Trif,1375,Moon-2,False,False,2,9,61,0,4
2022-05-02-21:29:26,Trif,1375,Moon-2,False,False,3,2,53,4,3
2022-05-02-21:36:41,Trif,1375,Moon-2,False,False,1,4,36,0,0
2022-05-02-21:36:41,Trif,1375,Moon-2,False,False,2,10,64,3,19
2022-05-02-21:36:41,Trif,1375,Moon-2,False,False,3,3,71,0,0
2022-05-02-21:44:29,Trif,1375,Moon-2,False,True,1,3,39,0,0
2022-05-02-21:44:29,Trif,1375,Moon-2,False,True,2,31,76,2,16
2022-05-02-21:44:29,Trif,1375,Moon-2,False,True,3,6,54,4,4
2022-05-02-21:53:45,Trif,1375,Moon-2,False,False,1,3,30,0,0
2022-05-02-21:53:45,Trif,1375,Moon-2,False,False,2,8,84,6,19
2022-05-02-21:53:45,Trif,1375,Moon-2,False,False,3,2,57,6,2
